index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
e21c07e6419a1d524a1632a95e13c3f6,2025-11-01T04:18:15Z,'hail swath',www.abc.net.au,en,0.1,Breaking: Nine centimetre hail hits south-east Queensland with more storms forecast,Hailstones of up to nine centimetres in diameter have been reported west of Warwick on the Southern Downs as south-east Queensland is warned to prepare for more storm activity.,https://www.abc.net.au/news/2025-11-01/qld-thunderstorms-hit-south-east-saturday/105961034,https://live-production.wcms.abc-cdn.net.au/ebd73190156e17e8cd6e75f30cc75cc4?impolicy=wcms_watermark_news&cropH=1152&cropW=2048&xPos=0&yPos=384&width=862&height=485&imformat=generic,,"Parts of south-east Queensland have been hit by giant hailstones, heavy rainfall and damaging winds, with the region on alert for more storm activity on Saturday afternoon
At Pratten, west of Warwic… [+1847 chars]",
27f483f4f8925769ca192f2beb6c0c79,2025-11-02T11:02:24Z,'thunderstorm low pressure',www.freep.com,en,0.1,These men dove to the Edmund Fitzgerald shipwreck decades ago. They share their stories.,"Terrence Tysall set a record scuba diving to the Edmund Fitzgerald. Ric Mixter dove in a submersible, finding a missing body. Here are their stories.",https://www.freep.com/story/news/local/michigan/2025/11/02/edmund-fitzgerald-wreck-diving/86752517007/,https://s.yimg.com/ny/api/res/1.2/tBV9woEu42fUcDLGhiniwg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTQ7Y2Y9d2VicA--/https://media.zenfs.com/en/detroit-free-press/7fb56b99518ae0eef3c4c8c7bd6ceb0f,,"Terrence Tysall was carrying everything he needed to stay alive on his back one September day in 1995 as he jumped into Lake Superior and started his death-defying descent, traveling more than 500 fe… [+31799 chars]",
89b6b12a71083c6f0a0846e1328b5577,2025-11-02T19:38:53Z,'thunderstorm power outages',www.abc.net.au,en,0.1,A storm-damaged powerline killed Manendra. What could have been different?,The death of a Brisbane man after a storm shone a spotlight on the dangers of overhead powerlines in a storm-prone state.,https://www.abc.net.au/news/2025-11-03/storm-damaged-powerline-killed-brisbane-man/105888900,https://live-production.wcms.abc-cdn.net.au/8855a74b288ad9acb8d8eed58dbfc357?impolicy=wcms_watermark_news&cropH=788&cropW=1400&xPos=0&yPos=26&width=862&height=485&imformat=generic,,"When Manendra Kopparthi tragically removed a fallen branch on a wet Queensland road, he was repeating a good-citizen ethos for which the 30-year-old was renowned.
This was the kind of guy whom, his … [+13162 chars]",
b36511c51359d0d5ef95e594fa907015,2025-11-02T21:37:23Z,'hail impact resistant roofing',www.abc.net.au,en,0.1,South-east Queensland hit by two consecutive days of giant hail,"Hundreds of residents remain without power after Saturday's wild storms, while others are tallying the cost of giant hail to their properties, cars and homes.",https://www.abc.net.au/news/2025-11-03/storms-giant-hail-hits-south-east-queensland-weather-bom/105963838,https://live-production.wcms.abc-cdn.net.au/7220f841cf2f166d77b091e3f82605ee?impolicy=wcms_watermark_news&cropH=1152&cropW=2048&xPos=0&yPos=192&width=862&height=485&imformat=generic,,"South-east and southern Queensland residents are being warned of the possibility of more storms to come, after parts of the region were lashed by giant hail over the weekend.
Bureau of Meteorology s… [+2504 chars]",
ac9d7803ede7fea7c5be56ca21dda21b,2025-11-03T03:40:04Z,'thunderstorm wind damage',www.abc.net.au,en,0.0,What caused the 'unusual' giant hail that smashed south-east Queensland,Hailstones of up to 8 and 9 centimetres hit parts of Queensland over the weekend. What caused them to be so large?,https://www.abc.net.au/news/2025-11-03/queensland-giant-hail-explainer-injuries-and-damage/105964362,https://live-production.wcms.abc-cdn.net.au/6831ba3e6ca89e03356e2f1dcfe7be69?impolicy=wcms_watermark_news&cropH=2268&cropW=4032&xPos=0&yPos=378&width=862&height=485&imformat=generic,,"Over the weekend, parts of south-east and southern Queensland were pummelled by giant hailstones, which measured between 8 and 9 centimetres in the hardest-hit areas. 
In parts of the Darling Downs,… [+4188 chars]",
722ac9c717ce53baa2358cce424b32db,2025-11-03T04:21:13Z,'hail nets',www.abc.net.au,en,0.1,Blueberry farmer estimates $300k damage from severe storm,"Stephen Thandi says a storm tore through his northern New South Wales blueberry farm ""like a freight train"" at the weekend, causing at least at least $300,000 worth of damage.",https://www.abc.net.au/news/2025-11-03/blueberry-farmer-counts-losses-after-severe-nsw-storm/105964770,https://live-production.wcms.abc-cdn.net.au/6ebbd2f9fd135338c50b46761e4b8b10?impolicy=wcms_watermark_news&cropH=899&cropW=1599&xPos=0&yPos=304&width=862&height=485&imformat=generic,,"Blueberry farmer Stephen Thandi has experienced severe weather before, but when a thunderstorm ripped through his northern New South Wales farm on the weekend, he was shocked to see the trail of dama… [+2974 chars]",
4ba716dfdc6db13e9fe4b463f0feb700,2025-11-03T08:45:28Z,'thunderstorm wind shear',en.protothema.gr,en,0.1,A storm is coming from tomorrow with thunderstorms in Attica – Marousakis warns of severe weather,"Rain and local thunderstorms in the west – Temperature drop from Wednesday
The post A storm is coming from tomorrow with thunderstorms in Attica – Marousakis warns of severe weather appeared first on ProtoThema English.",https://en.protothema.gr/2025/11/03/a-storm-is-coming-from-tomorrow-with-thunderstorms-in-attica-marousakis-warns-of-severe-weather/,https://en.protothema.gr/wp-content/uploads/2025/11/95.png,,"The weatherturns sharply this week, with rain that will locally be intense, and also a sudden drop in temperature.
Today, in western Greece, rainy weather is expected, while local thunderstorms will… [+5478 chars]",
56f75f4ef342bdf0f8e52ed1e7895b1a,2025-11-04T07:03:21Z,'hail strong updrafts',en.protothema.gr,en,0.1,"Weather: Deterioration today with heavy rains and thunderstorms – The 8 areas that will be most affected, strong phenomena in Attica","Instructions of Civil Protection - ""No unprecedented bad weather is expected"", says Kallianos - Near zero minimum temperature yesterday morning
The post Weather: Deterioration today with heavy rains and thunderstorms – The 8 areas that will be most affected, …",https://en.protothema.gr/2025/11/04/weather-deterioration-today-with-heavy-rains-and-thunderstorms-the-8-areas-that-will-be-most-affected-strong-phenomena-in-attica/,https://en.protothema.gr/wp-content/uploads/2025/11/df.png,,"The National Weather Service (EMY) is warning of worsening weather today, with the peak of the weather in the afternoon hours. The strong storms, which will mainly affect Attica and the Aegean island… [+12805 chars]",
f03f2770b1116bd9c02d4cd39f4fa235,2025-11-04T11:54:15Z,'thunderstorm lightning',timesofindia.indiatimes.com,en,1.0,"IMD warns of thunderstorms, lightning in Himachal, Ladakh, Punjab and other states across India; what travellers need to know","The India Meteorological Department has issued thunderstorm warnings with lightning and gusty winds for the western Himalayas and neighboring plains, including Himachal Pradesh, Jammu & Kashmir, and Punjab. This weather system, influenced by a western disturb…",https://timesofindia.indiatimes.com/life-style/travel/news/imd-warns-of-thunderstorms-lightning-in-himachal-ladakh-punjab-and-other-states-across-india-what-travellers-need-to-know/articleshow/125086418.cms,"https://static.toiimg.com/thumb/msid-125086525,width-1070,height-580,imgsize-49532,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",,"<ul><li>News</li>
<li>lifestyle</li>
<li>travel</li>
<li>IMD warns of thunderstorms, lightning in Himachal, Ladakh, Punjab and other states across India; what travellers need to know</li></ul>
Th… [+436 chars]",
ec25660467703c2b4864180fca8f719e,2025-11-04T21:36:22Z,'thunderstorm wind shear',www.abc.net.au,en,0.1,"Caution urged as thunderstorms, damaging winds forecast for WA","A severe weather system is expected to deliver thunderstorms, damaging winds and hail to much of Western Australia this week — but the state will not have to wait too long for it to clear.",https://www.abc.net.au/news/2025-11-05/severe-weather-warning-for-wa-with-thunderstorms-damaging-winds/105971670,https://live-production.wcms.abc-cdn.net.au/01c58600c0844873e99f3c333aaa4326?impolicy=wcms_watermark_news&cropH=3953&cropW=7028&xPos=0&yPos=368&width=862&height=485&imformat=generic,http://web.archive.org/web/20251111190057/https://www.abc.net.au/news/2025-11-05/severe-weather-warning-for-wa-with-thunderstorms-damaging-winds/105971670,"The last month of spring has delivered a mixed bag of weather for Western Australia, with balmy nights to merge into thunderstorms and light shows in the coming days.
Lightning storms began to hit a… [+4848 chars]",
