index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.foxweather.com/weather-news/severe-weather-southern-plains-hail-tornado-arkansas-oklahoma-texas,https://www.foxweather.com/weather-news/severe-weather-southern-plains-hail-tornado-arkansas-oklahoma-texas,0,www.foxweather.com,"Severe storms threaten southern states, risk of strong tornadoes","Nine states across the southern Plains are under the threat of severe thunderstorms, with parts of Arkansas and Oklahoma, in particular, threatened by storms capable of generating a few tornadoes Tuesday afternoon.",https://nypost.com/wp-content/uploads/sites/2/2025/09/111988187.jpg?quality=75&strip=all&w=1024,2025-09-23T19:57:44Z,,"Nine states across the southern Plains are under the threat of severe thunderstorms, with parts of Arkansas and Oklahoma, in particular, threatened by storms capable of generating a few tornadoes Tue… [+2855 chars]",,en,'Thunderstorm tornado'
https://ktla.com/news/california/lightning-heavy-rain-hit-coast-more-t-storms-in-southern-california-forecast/,https://ktla.com/news/california/lightning-heavy-rain-hit-coast-more-t-storms-in-southern-california-forecast/,0,ktla.com,"Lightning, heavy rain hit coast; more T-storms in Southern California forecast",A pop-up thunderstorm brought heavy showers and lightning to the Southern California coast overnight. “We did have a little concentration of moisture that...,https://media.zenfs.com/en/ktla_articles_362/fffee170d9b7e8597bd8b773945d3766,2025-09-24T13:39:08Z,,"A pop-up thunderstorm brought heavy showers and lightning to the Southern California coast overnight.
We did have a little concentration of moisture that moved through yesterday, KTLA Meteorologist … [+1354 chars]",,en,'Thunderstorm lightning'
https://economictimes.indiatimes.com/news/international/us/heavy-storm-system-hits-arizona-valley-with-flash-flood-and-severe-thunderstorm-warnings/articleshow/124168300.cms,https://economictimes.indiatimes.com/news/international/us/heavy-storm-system-hits-arizona-valley-with-flash-flood-and-severe-thunderstorm-warnings/articleshow/124168300.cms,0,economictimes.indiatimes.com,Heavy storm system hits Arizona Valley with flash flood and severe thunderstorm warnings,"A powerful storm system swept through Arizona's Valley on September 26, 2025, bringing heavy rain, lightning, and a significant cool-down. Flash flood and severe thunderstorm warnings were issued for multiple cities, including Glendale and Peoria, until early…","https://img.etimg.com/thumb/msid-124168319,width-1200,height-630,imgsize-86414,overlay-economictimes/articleshow.jpg",2025-09-26T18:59:06Z,,"A powerful storm system moved through parts of the Arizona Valley on September 26, 2025, bringing heavy rain, lightning, and a major cool down as a weather shift took hold. The storm has prompted mul… [+2116 chars]",,en,'Thunderstorm lightning'
https://www.nzherald.co.nz/nz/weather-heavy-rain-and-thunderstorm-risk-for-new-zealand-throughout-the-week/GUD5BNKOGBCRBIIXW3CEAQCNFM/,https://www.nzherald.co.nz/nz/weather-heavy-rain-and-thunderstorm-risk-for-new-zealand-throughout-the-week/GUD5BNKOGBCRBIIXW3CEAQCNFM/,0,www.nzherald.co.nz,Weather: Heavy rain and thunderstorm risk for New Zealand throughout the week,A large low-pressure system is set to approach from the Tasman Sea.,https://www.nzherald.co.nz/resizer/v2/3LRKRSIBU5FD5KO2DRJO3QRE6M.png?auth=d18bd4ec8457807ac3797108aae6370fcc6fc6841a4bfafb23289524a5cdb1ef&width=1200&height=675&quality=70&smart=true,2025-09-29T16:00:00Z,,"MetService has issued strong wind watches for Otago, Fiordland and Southland from this morning until late this evening. 
Severe Weather Update
A Strong Wind Watch valid from Tuesday has been issued… [+1820 chars]",,en,'Thunderstorm early warning'
