day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-09-23,0.07666666666666669,1.0,0.24000000000000005,1.0,1.0
2025-09-24,-0.052777777777777785,1.0,0.3333333333333333,1.0,1.0
2025-09-26,1.0721226988230854,1.0,0.53676127409508,1.0,1.0
2025-09-29,0.11955266955266954,1.0,0.574963924963925,1.0,1.0
2025-10-02,-0.11590909090909089,1.0,0.31988636363636364,1.0,1.0
2025-10-03,0.13333333333333336,1.0,0.8777777777777778,1.0,1.0
2025-10-06,-0.9074300193356866,1.0,-1.153770664647733,1.0,1.0
2025-10-14,0.014285714285714282,1.0,0.3261904761904762,1.0,1.0
2025-10-16,0.2787878787878788,1.0,0.5348484848484848,1.0,1.0
2025-10-20,-0.16469267948739888,1.0,0.6170093905526521,1.0,1.0
2025-10-21,-0.12562500000000001,1.0,0.540625,1.0,1.0
